Date,Hour,Readings,Avg_PV_W,PV_Energy_kWh,Avg_Battery_W,Battery_Energy_kWh,Avg_Grid_W,Grid_Energy_kWh,Avg_GridLoad_W,GridLoad_Energy_kWh,Avg_BackupLoad_W,BackupLoad_Energy_kWh,Avg_SOC_Pct,Min_SOC_Pct,Max_SOC_Pct
2026-01-01,00:00,12,0,0,-408.1,-0.408,-105.5,-0.105,513.6,0.514,0,0,16.7,15,18
2026-01-01,01:00,12,0,0,0,0,-724.4,-0.724,724.4,0.724,0,0,16,16,16
2026-01-01,02:00,12,0,0,4.3,0.004,-629.7,-0.63,625.4,0.625,0,0,16,16,16
2026-01-01,03:00,12,0,0,0,0,-673,-0.673,673,0.673,0,0,16,16,16
2026-01-01,04:00,12,0,0,0,0,-612.1,-0.612,612.1,0.612,0,0,16,16,16
2026-01-01,05:00,12,0,0,0,0,-499.4,-0.499,499.4,0.499,0,0,16,16,16
2026-01-01,06:00,12,71.2,0.071,0,0,-392.6,-0.393,463.8,0.464,0,0,16,16,16
2026-01-01,07:00,12,409,0.409,102.9,0.103,-186.7,-0.187,492.8,0.493,0,0,16.3,16,17
2026-01-01,08:00,12,1051.8,1.052,581.6,0.582,-81,-0.081,551.2,0.551,0,0,18.8,17,21
2026-01-01,09:00,12,2043.6,2.044,1518.8,1.519,-81,-0.081,605.8,0.606,0,0,25.7,22,31
2026-01-01,10:00,12,2618.7,2.619,-1574.7,-1.575,-202.7,-0.203,4396.2,4.396,0,0,31.3,21,36
2026-01-01,11:00,12,2912,2.912,835.2,0.835,-1200.1,-1.2,3276.9,3.277,0,0,18.3,15,23
2026-01-01,12:00,12,3429.6,3.43,2645.1,2.645,-85,-0.085,869.5,0.87,0,0,33,24,42
2026-01-01,13:00,12,2505.3,2.505,1665.7,1.666,-93,-0.093,932.7,0.933,0,0,49.8,44,55
2026-01-01,14:00,12,1514.2,1.514,706,0.706,-89,-0.089,897.2,0.897,0,0,58.2,56,60
2026-01-01,15:00,12,1293.2,1.293,508.1,0.508,-91.7,-0.092,876.8,0.877,0,0,62.3,60,64
2026-01-01,16:00,12,580.3,0.58,-2620.6,-2.621,-538.7,-0.539,3739.6,3.74,0,0,61,49,64
2026-01-01,17:00,12,97.3,0.097,-4104.3,-4.104,-4561.8,-4.562,8763.4,8.763,0,0,24.4,15,44
2026-01-01,18:00,12,0,0,5.2,0.005,-8115.9,-8.116,8110.8,8.111,0,0,16,16,16
2026-01-01,19:00,12,0,0,0,0,-2052.2,-2.052,2052.2,2.052,0,0,16,16,16
2026-01-01,20:00,12,0,0,0,0,-878.9,-0.879,878.9,0.879,0,0,16,16,16
2026-01-01,21:00,12,0,0,0,0,-949.2,-0.949,949.2,0.949,0,0,16,16,16
2026-01-01,22:00,12,0,0,0,0,-1029.4,-1.029,1029.4,1.029,0,0,16,16,16
2026-01-01,23:00,12,0,0,7.8,0.008,-878.8,-0.879,871.1,0.871,0,0,16,16,16
2026-01-02,00:00,12,0,0,0,0,-857.2,-0.857,857.2,0.857,0,0,16,16,16
2026-01-02,01:00,12,0,0,0,0,-796.2,-0.796,796.3,0.796,0,0,17,17,17
2026-01-02,02:00,12,0,0,0,0,-927.6,-0.928,927.6,0.928,0,0,17,17,17
2026-01-02,03:00,12,0,0,0,0,-845,-0.845,845,0.845,0,0,17,17,17
2026-01-02,04:00,12,0,0,0,0,-691.8,-0.692,691.8,0.692,0,0,17,17,17
2026-01-02,05:00,12,0,0,0,0,-641.7,-0.642,641.7,0.642,0,0,17,17,17
2026-01-02,06:00,12,46.7,0.047,0,0,-536.1,-0.536,582.8,0.583,0,0,17,17,17
2026-01-02,07:00,12,481.2,0.481,162.3,0.162,-90.6,-0.091,409.4,0.409,0,0,17.4,17,18
2026-01-02,08:00,12,460,0.46,18.4,0.018,-312.7,-0.313,754.3,0.754,0,0,18.3,18,19
2026-01-02,09:00,12,1057.1,1.057,577.8,0.578,-78.3,-0.078,557.7,0.558,0,0,20.1,19,22
2026-01-02,10:00,12,1281.1,1.281,801.1,0.801,-67.5,-0.067,547.5,0.548,0,0,25.1,23,28
2026-01-02,11:00,12,251.5,0.252,21.7,0.022,-170.3,-0.17,400.2,0.4,0,0,29,29,29
2026-01-02,12:00,11,140.6,0.129,1.9,0.002,-295.1,-0.27,433.8,0.398,0,0,29,29,29
2026-01-02,13:00,12,181,0.181,0,0,-293.7,-0.294,474.7,0.475,0,0,29,29,29
2026-01-02,14:00,12,404.2,0.404,19.8,0.02,-154.1,-0.154,538.5,0.539,0,0,29,29,29
2026-01-02,15:00,12,272.8,0.273,1.8,0.002,-235.3,-0.235,506.3,0.506,0,0,29,29,29
2026-01-02,16:00,12,122.4,0.122,0,0,-567.3,-0.567,689.8,0.69,0,0,29,29,29
2026-01-02,17:00,12,11.8,0.012,0,0,-598.4,-0.598,610.3,0.61,0,0,29,29,29
2026-01-02,18:00,12,0,0,0,0,-655.3,-0.655,655.3,0.655,0,0,29,29,29
2026-01-02,19:00,11,0,0,0,0,-683.9,-0.627,683.9,0.627,0,0,29.1,29,30
2026-01-02,20:00,12,0,0,0,0,-725.9,-0.726,725.9,0.726,0,0,30,30,30
2026-01-02,21:00,12,0,0,0,0,-991.4,-0.991,991.4,0.991,0,0,30,30,30
2026-01-02,22:00,12,0,0,0,0,-652.8,-0.653,652.8,0.653,0,0,30,30,30
2026-01-02,23:00,12,0,0,1.3,0.001,-725.8,-0.726,724.6,0.725,0,0,30,30,30
2026-01-03,00:00,11,0,0,0,0,-691.4,-0.634,691.4,0.634,0,0,30,30,30
2026-01-03,01:00,12,0,0,0,0,-599.7,-0.6,599.8,0.6,0,0,30,30,30
2026-01-03,02:00,12,0,0,0,0,-477.7,-0.478,477.8,0.478,0,0,30,30,30
2026-01-03,03:00,12,0,0,0,0,-521.2,-0.521,521.3,0.521,0,0,30,30,30
2026-01-03,04:00,12,0,0,0,0,-401.9,-0.402,401.9,0.402,0,0,30,30,30
2026-01-03,05:00,12,0,0,0,0,-406,-0.406,406,0.406,0,0,30,30,30
2026-01-03,06:00,12,30,0.03,0,0,-396.5,-0.396,426.5,0.427,0,0,30,30,30
2026-01-03,07:00,12,366.9,0.367,77.7,0.078,-151.4,-0.151,440.7,0.441,0,0,30.3,30,31
2026-01-03,08:00,12,1040.8,1.041,595.3,0.595,-78.3,-0.078,523.9,0.524,0,0,33,31,35
2026-01-03,09:00,12,2298.3,2.298,1483.8,1.484,-97,-0.097,911.6,0.912,0,0,39.7,35,45
2026-01-03,10:00,12,3434.1,3.434,2357.8,2.358,-98.5,-0.098,1174.8,1.175,0,0,52.6,46,60
2026-01-03,11:00,12,4180.6,4.181,2982.7,2.983,-118.7,-0.119,1316.6,1.317,0,0,71.6,61,82
2026-01-03,12:00,12,3437.8,3.438,2445.7,2.446,-107.7,-0.108,1099.8,1.1,0,0,92.3,83,99
2026-01-03,13:00,12,909.6,0.91,128.8,0.129,-99.7,-0.1,880.5,0.881,0,0,99.9,99,100
2026-01-03,14:00,12,924.8,0.925,0,0,-106.4,-0.106,1031.3,1.031,0,0,100,100,100
2026-01-03,15:00,12,1050,1.05,-29.1,-0.029,-114.5,-0.114,1193.6,1.194,0,0,100,100,100
2026-01-03,16:00,12,514.3,0.514,-1034,-1.034,-157.9,-0.158,1706.2,1.706,0,0,98.3,94,100
